Date, Open, High, Low, Close
12/29/23, 4782.88, 4788.43, 4751.99, 4769.83
12/28/23, 4786.44, 4793.30, 4780.98, 4783.35
12/27/23, 4773.45, 4785.39, 4768.90, 4781.58
12/26/23, 4758.86, 4784.72, 4758.45, 4774.75
12/22/23, 4753.92, 4772.94, 4736.77, 4754.63
12/21/23, 4724.29, 4748.71, 4708.35, 4746.75
12/20/23, 4764.73, 4778.01, 4697.82, 4698.35
12/19/23, 4743.72, 4768.69, 4743.72, 4768.37
12/18/23, 4725.58, 4749.52, 4725.58, 4740.56
12/15/23, 4714.23, 4725.53, 4704.69, 4719.19
12/14/23, 4721.04, 4738.57, 4694.34, 4719.55
12/13/23, 4646.20, 4709.69, 4643.23, 4707.09
12/12/23, 4618.30, 4643.93, 4608.09, 4643.70
12/11/23, 4593.39, 4623.71, 4593.39, 4622.44
12/08/23, 4576.20, 4609.23, 4574.06, 4604.37
12/07/23, 4568.84, 4590.92, 4565.22, 4585.59
12/06/23, 4586.23, 4590.74, 4546.50, 4549.34
12/05/23, 4557.25, 4578.56, 4551.68, 4567.18
12/04/23, 4564.37, 4572.37, 4546.72, 4569.78
12/01/23, 4559.43, 4599.39, 4554.71, 4594.63
11/30/23, 4554.87, 4569.89, 4537.24, 4567.80
11/29/23, 4571.84, 4587.64, 4547.15, 4550.58
11/28/23, 4545.55, 4568.14, 4540.51, 4554.89
11/27/23, 4554.86, 4560.52, 4546.32, 4550.43
11/24/23, 4555.84, 4560.31, 4552.80, 4559.34
11/22/23, 4553.04, 4568.43, 4545.05, 4556.62
11/21/23, 4538.77, 4542.14, 4525.51, 4538.19
11/20/23, 4511.70, 4557.11, 4510.36, 4547.38
11/17/23, 4509.55, 4520.12, 4499.66, 4514.02
11/16/23, 4497.08, 4511.99, 4487.83, 4508.24
11/15/23, 4505.30, 4521.17, 4495.31, 4502.88
11/14/23, 4458.97, 4508.67, 4458.97, 4495.70
11/13/23, 4406.66, 4421.76, 4393.82, 4411.55
11/10/23, 4364.15, 4418.03, 4353.34, 4415.24
11/09/23, 4391.41, 4393.40, 4343.94, 4347.35
11/08/23, 4384.37, 4391.20, 4359.76, 4382.78
11/07/23, 4366.21, 4386.26, 4355.41, 4378.38
11/06/23, 4364.27, 4372.21, 4347.53, 4365.98
11/03/23, 4334.23, 4373.62, 4334.23, 4358.34
11/02/23, 4268.26, 4319.72, 4268.26, 4317.78
11/01/23, 4201.27, 4245.64, 4197.74, 4237.86
10/31/23, 4171.33, 4195.55, 4153.12, 4193.80
10/30/23, 4139.39, 4177.47, 4132.94, 4166.82
10/27/23, 4152.93, 4156.70, 4103.78, 4117.37
10/26/23, 4175.99, 4183.60, 4127.90, 4137.23
10/25/23, 4232.42, 4232.42, 4181.42, 4186.77
10/24/23, 4235.79, 4259.38, 4219.43, 4247.68
10/23/23, 4210.40, 4255.84, 4189.22, 4217.04
10/20/23, 4273.85, 4276.56, 4223.03, 4224.16
10/19/23, 4321.36, 4339.54, 4269.69, 4278.00
10/18/23, 4357.35, 4364.20, 4303.84, 4314.60
10/17/23, 4345.23, 4393.57, 4337.54, 4373.20
10/16/23, 4342.37, 4383.33, 4342.37, 4373.63
10/13/23, 4360.49, 4377.10, 4311.97, 4327.78
10/12/23, 4380.94, 4385.85, 4325.43, 4349.61
10/11/23, 4366.59, 4378.64, 4345.34, 4376.95
10/10/23, 4339.75, 4385.46, 4339.64, 4358.24
10/09/23, 4289.02, 4341.73, 4283.79, 4335.66
10/06/23, 4234.79, 4324.10, 4219.55, 4308.50
10/05/23, 4259.31, 4267.13, 4225.91, 4258.19
10/04/23, 4233.83, 4268.50, 4220.48, 4263.75
10/03/23, 4269.75, 4281.15, 4216.45, 4229.45
10/02/23, 4284.52, 4300.58, 4260.21, 4288.39
09/29/23, 4328.18, 4333.15, 4274.86, 4288.05
09/28/23, 4269.65, 4317.27, 4264.38, 4299.70
09/27/23, 4282.63, 4292.07, 4238.63, 4274.51
09/26/23, 4312.88, 4313.01, 4265.98, 4273.53
09/25/23, 4310.62, 4338.51, 4302.70, 4337.44
09/22/23, 4341.74, 4357.40, 4316.49, 4320.06
09/21/23, 4374.36, 4375.70, 4329.17, 4330.00
09/20/23, 4452.81, 4461.03, 4401.38, 4402.20
09/19/23, 4445.41, 4449.85, 4416.61, 4443.95
09/18/23, 4445.13, 4466.36, 4442.11, 4453.53
09/15/23, 4497.98, 4497.98, 4447.21, 4450.32
09/14/23, 4487.78, 4511.99, 4478.69, 4505.10
09/13/23, 4462.65, 4479.39, 4453.52, 4467.44
09/12/23, 4473.27, 4487.11, 4456.83, 4461.90
09/11/23, 4480.98, 4490.77, 4467.89, 4487.46
09/08/23, 4451.30, 4473.53, 4448.38, 4457.49
09/07/23, 4434.55, 4457.81, 4430.46, 4451.14
09/06/23, 4490.35, 4490.35, 4442.38, 4465.48
09/05/23, 4510.06, 4514.29, 4496.01, 4496.83
09/01/23, 4530.85, 4541.25, 4501.35, 4515.77
08/31/23, 4517.01, 4532.26, 4507.39, 4507.66
08/30/23, 4500.34, 4521.65, 4493.59, 4514.87
08/29/23, 4432.75, 4500.14, 4431.68, 4497.63
08/28/23, 4426.03, 4439.56, 4414.98, 4433.31
08/25/23, 4389.38, 4418.46, 4356.29, 4405.71
08/24/23, 4455.16, 4458.30, 4375.55, 4376.31
08/23/23, 4396.44, 4443.18, 4396.44, 4436.01
08/22/23, 4415.33, 4418.59, 4382.77, 4387.55
08/21/23, 4380.28, 4407.55, 4360.30, 4399.77
08/18/23, 4344.88, 4381.82, 4335.31, 4369.71
08/17/23, 4416.32, 4421.17, 4364.83, 4370.36
08/16/23, 4433.79, 4449.95, 4403.55, 4404.33
08/15/23, 4478.87, 4478.87, 4432.19, 4437.86
08/14/23, 4458.13, 4490.33, 4453.44, 4489.72
08/11/23, 4450.69, 4476.23, 4443.98, 4464.05
08/10/23, 4487.16, 4527.37, 4457.92, 4468.83
08/09/23, 4501.57, 4502.44, 4461.33, 4467.71
08/08/23, 4498.03, 4503.31, 4464.39, 4499.38
08/07/23, 4491.58, 4519.84, 4491.15, 4518.44
08/04/23, 4513.96, 4540.34, 4474.55, 4478.03
08/03/23, 4494.27, 4519.49, 4485.54, 4501.89
08/02/23, 4550.93, 4550.93, 4505.75, 4513.39
08/01/23, 4578.83, 4584.62, 4567.53, 4576.73
07/31/23, 4584.82, 4594.22, 4573.14, 4588.96
07/28/23, 4565.75, 4590.16, 4564.01, 4582.23
07/27/23, 4598.26, 4607.07, 4528.56, 4537.41
07/26/23, 4558.96, 4582.47, 4547.58, 4566.75
07/25/23, 4555.19, 4580.62, 4552.42, 4567.46
07/24/23, 4543.39, 4563.41, 4541.29, 4554.64
07/21/23, 4550.16, 4555.00, 4535.79, 4536.34
07/20/23, 4554.38, 4564.74, 4527.56, 4534.87
07/19/23, 4563.87, 4578.43, 4557.48, 4565.72
07/18/23, 4521.78, 4562.30, 4514.59, 4554.98
07/17/23, 4508.86, 4532.85, 4504.90, 4522.79
07/14/23, 4514.61, 4527.76, 4499.56, 4505.42
07/13/23, 4491.50, 4517.38, 4489.36, 4510.04
07/12/23, 4467.69, 4488.34, 4463.23, 4472.16
07/11/23, 4415.55, 4443.64, 4408.46, 4439.26
07/10/23, 4394.23, 4412.60, 4389.92, 4409.53
07/07/23, 4404.54, 4440.39, 4397.40, 4398.95
07/06/23, 4422.62, 4422.62, 4385.05, 4411.59
07/05/23, 4442.04, 4454.06, 4436.61, 4446.82
07/03/23, 4449.45, 4456.46, 4442.29, 4455.59
06/30/23, 4422.44, 4458.48, 4422.44, 4450.38
06/29/23, 4374.94, 4398.39, 4371.97, 4396.44
06/28/23, 4367.48, 4390.35, 4360.22, 4376.86
06/27/23, 4337.36, 4384.42, 4335.00, 4378.41
06/26/23, 4344.84, 4362.06, 4328.08, 4328.82
06/23/23, 4354.17, 4366.55, 4341.34, 4348.33
06/22/23, 4355.40, 4382.25, 4351.82, 4381.89
06/21/23, 4380.01, 4386.22, 4360.14, 4365.69
06/20/23, 4396.11, 4400.15, 4367.19, 4388.71
06/16/23, 4442.70, 4448.47, 4407.44, 4409.59
06/15/23, 4365.33, 4439.20, 4362.60, 4425.84
06/14/23, 4366.29, 4391.82, 4337.85, 4372.59
06/13/23, 4352.61, 4375.37, 4349.31, 4369.01
06/12/23, 4308.32, 4340.13, 4304.37, 4338.93
06/09/23, 4304.88, 4322.62, 4291.70, 4298.86
06/08/23, 4268.69, 4298.01, 4261.07, 4293.93
06/07/23, 4285.47, 4299.19, 4263.96, 4267.52
06/06/23, 4271.34, 4288.33, 4263.09, 4283.85
06/05/23, 4282.99, 4299.28, 4266.82, 4273.79
06/02/23, 4241.01, 4290.67, 4241.01, 4282.37
06/01/23, 4183.03, 4232.43, 4171.64, 4221.02
05/31/23, 4190.74, 4195.44, 4166.15, 4179.83
05/30/23, 4226.71, 4231.10, 4192.18, 4205.52
05/26/23, 4155.98, 4212.87, 4156.16, 4205.45
05/25/23, 4155.71, 4165.74, 4129.73, 4151.28
05/24/23, 4132.96, 4132.96, 4103.98, 4115.24
05/23/23, 4176.80, 4185.68, 4142.54, 4145.58
05/22/23, 4190.78, 4209.22, 4179.68, 4192.63
05/19/23, 4204.15, 4212.91, 4180.20, 4191.98
05/18/23, 4157.68, 4202.20, 4153.50, 4198.05
